Level,Power,Gold,Currency,Sum Gold,Eff,Multiplier,Pow Increment,Eff Decrement,,
1,38,1200,Diamond,0,1,10,11,0.9330329915,Ship mới mở khóa thì Level 1. Power là:,38
2,49,140,Gold,140,0.9330329915,,,,"Từ level 1, nhận X gold sang Level 2. X là:",140
3,60,150,Gold,290,0.8705505633,,,,"Sang level 2, power là:",49
4,71,170,Gold,460,0.8122523964,,,,Level N -> Nhận Gold -> Sang level N+1.,
5,82,190,Gold,650,0.7578582833,,,,,
6,93,220,Gold,870,0.7071067812,,,,,
7,104,240,Gold,1110,0.6597539554,,,,,
8,115,270,Gold,1380,0.6155722067,,,,,
9,126,300,Gold,1680,0.5743491775,,,,,
10,137,340,Gold,2020,0.5358867313,,,,,
11,148,370,Gold,2390,0.5,,,,,
12,159,420,Gold,2810,0.4665164958,,,,,
13,170,460,Gold,3270,0.4352752816,,,,,
14,181,510,Gold,3780,0.4061261982,,,,,
15,192,560,Gold,4340,0.3789291416,,,,,
16,203,620,Gold,4960,0.3535533906,,,,,
17,214,690,Gold,5650,0.3298769777,,,,,
18,225,760,Gold,6410,0.3077861033,,,,,
19,236,840,Gold,7250,0.2871745887,,,,,
20,247,920,Gold,8170,0.2679433656,,,,,
21,258,1020,Gold,9190,0.25,,,,,
22,269,1120,Gold,10310,0.2332582479,,,,,
23,280,1230,Gold,11540,0.2176376408,,,,,
24,291,1350,Gold,12890,0.2030630991,,,,,
25,302,1480,Gold,14370,0.1894645708,,,,,
26,313,1630,Gold,16000,0.1767766953,,,,,
27,324,1780,Gold,17780,0.1649384888,,,,,
28,335,1960,Gold,19740,0.1538930517,,,,,
29,346,2140,Gold,21880,0.1435872944,,,,,
30,357,2350,Gold,24230,0.1339716828,,,,,
31,368,2570,Gold,26800,0.125,,,,,
32,379,2810,Gold,29610,0.1166291239,,,,,
33,390,3070,Gold,32680,0.1088188204,,,,,
34,401,3360,Gold,36040,0.1015315495,,,,,
35,412,3670,Gold,39710,0.09473228541,,,,,
36,423,4010,Gold,43720,0.08838834765,,,,,
37,434,4380,Gold,48100,0.08246924442,,,,,
38,445,4780,Gold,52880,0.07694652583,,,,,
39,456,5220,Gold,58100,0.07179364719,,,,,
40,467,5690,Gold,63790,0.06698584141,,,,,
41,478,6210,Gold,70000,0.0625,,,,,
42,489,6770,Gold,76770,0.05831456197,,,,,
43,500,7380,Gold,84150,0.05440941021,,,,,
44,511,8040,Gold,92190,0.05076577477,,,,,
45,522,8760,Gold,100950,0.0473661427,,,,,
46,533,9540,Gold,110490,0.04419417382,,,,,
47,544,10380,Gold,120870,0.04123462221,,,,,
48,555,11300,Gold,132170,0.03847326292,,,,,
49,566,12300,Gold,144470,0.03589682359,,,,,
50,577,13380,Gold,157850,0.0334929207,,,,,
51,588,14560,Gold,172410,0.03125,,,,,
52,599,15830,Gold,188240,0.02915728099,,,,,
53,610,17210,Gold,205450,0.0272047051,,,,,
54,621,18710,Gold,224160,0.02538288739,,,,,
55,632,20340,Gold,244500,0.02368307135,,,,,
56,643,22100,Gold,266600,0.02209708691,,,,,
57,654,24010,Gold,290610,0.02061731111,,,,,
58,665,26090,Gold,316700,0.01923663146,,,,,
59,676,28330,Gold,345030,0.0179484118,,,,,
60,687,30760,Gold,375790,0.01674646035,,,,,
61,698,33400,Gold,409190,0.015625,,,,,
62,709,36260,Gold,445450,0.01457864049,,,,,
63,720,39350,Gold,484800,0.01360235255,,,,,
64,731,42700,Gold,527500,0.01269144369,,,,,
65,742,46340,Gold,573840,0.01184153568,,,,,
66,753,50270,Gold,624110,0.01104854346,,,,,
67,764,54520,Gold,678630,0.01030865555,,,,,
68,775,59130,Gold,737760,0.009618315729,,,,,
69,786,64120,Gold,801880,0.008974205898,,,,,
70,797,69530,Gold,871410,0.008373230176,,,,,
71,808,75370,Gold,946780,0.0078125,,,,,
72,819,81700,Gold,1028480,0.007289320246,,,,,
73,830,88550,Gold,1117030,0.006801176276,,,,,
74,841,95960,Gold,1212990,0.006345721847,,,,,
75,852,103980,Gold,1316970,0.005920767838,,,,,
76,863,112660,Gold,1429630,0.005524271728,,,,,
77,874,122040,Gold,1551670,0.005154327776,,,,,
78,885,132190,Gold,1683860,0.004809157865,,,,,
79,896,143170,Gold,1827030,0.004487102949,,,,,
80,907,155050,Gold,1982080,0.004186615088,,,,,
81,918,167890,Gold,2149970,0.00390625,,,,,
82,929,181780,Gold,2331750,0.003644660123,,,,,
83,940,196800,Gold,2528550,0.003400588138,,,,,
84,951,213030,Gold,2741580,0.003172860923,,,,,
85,962,230580,Gold,2972160,0.002960383919,,,,,
86,973,249560,Gold,3221720,0.002762135864,,,,,
87,984,270070,Gold,3491790,0.002577163888,,,,,
88,995,292240,Gold,3784030,0.002404578932,,,,,
89,1006,316200,Gold,4100230,0.002243551475,,,,,
90,1017,342090,Gold,4442320,0.002093307544,,,,,
91,1028,370070,Gold,4812390,0.001953125,,,,,
92,1039,400310,Gold,5212700,0.001822330062,,,,,
93,1050,432980,Gold,5645680,0.001700294069,,,,,
94,1061,468270,Gold,6113950,0.001586430462,,,,,
95,1072,506410,Gold,6620360,0.001480191959,,,,,
96,1083,547600,Gold,7167960,0.001381067932,,,,,
97,1094,592100,Gold,7760060,0.001288581944,,,,,
98,1105,640170,Gold,8400230,0.001202289466,,,,,
99,1116,692090,Gold,9092320,0.001121775737,,,,,
100,1127,748160,Gold,9840480,0.001046653772,,,,,
